Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
45,Reggie Jackson,25,DET,PG,79,79,2424,.434,11.9,.732,.280,.219,.122,.109,.268,.464,.575,.381,.480,.331,.353,.064,.415,.011,13,.117,.385,2,0,,jacksre01
46,Kevin Love,27,CLE,PF,77,77,2424,.419,15.2,.551,.173,.190,.084,.104,.449,.467,.550,.452,.341,.451,.360,.602,.987,.023,20,.303,.398,0,0,,loveke01
47,Chris Paul,30,LAC,PG,74,74,2420,.462,15.8,.705,.121,.121,.184,.278,.295,.501,.615,.504,.527,.432,.371,.115,.336,.002,2,.116,.342,1,0,MVP-6DPOY-13ASNBA2DEF1,paulch01
48,Jabari Parker,20,MIL,PF,76,72,2408,.493,7.7,.961,.461,.150,.140,.210,.039,.502,.657,.356,.397,.339,.257,.719,.778,.154,129,.514,.278,0,0,,parkeja01
49,Thaddeus Young,27,BRK,PF,73,73,2407,.514,6.6,.969,.388,.388,.053,.139,.031,.523,.612,.497,.333,.418,.233,.559,.714,.030,27,.300,.111,2,0,,youngth01
50,Kyle Korver,34,ATL,SG,80,80,2401,.435,20.7,.356,.058,.021,.054,.222,.644,.502,.639,.308,.576,.467,.398,.864,.975,.002,1,.224,.449,0,0,,korveky01
51,Luol Deng,30,MIA,PF,74,73,2394,.455,13.0,.656,.305,.136,.059,.160,.344,.513,.670,.446,.205,.378,.344,.622,1.000,.035,26,.539,.362,1,0,,denglu01
52,Kawhi Leonard,24,SAS,SF,72,72,2380,.506,13.3,.733,.207,.148,.201,.178,.267,.528,.730,.472,.498,.376,.443,.450,.860,.061,64,.220,.484,0,0,MVP-2DPOY-1ASNBA1DEF1,leonaka01
53,Victor Oladipo,23,ORL,SG,72,52,2379,.438,13.5,.709,.298,.082,.100,.230,.291,.475,.574,.313,.402,.435,.348,.388,.806,.042,33,.262,.405,4,0,,oladivi01
54,Rudy Gay,29,SAC,SF,70,70,2379,.463,11.1,.786,.267,.248,.135,.136,.214,.495,.651,.384,.471,.416,.344,.528,.824,.088,78,.279,.400,1,0,,gayru01
55,Arron Afflalo,30,NYK,SG,71,57,2371,.443,14.8,.702,.115,.178,.193,.217,.298,.469,.609,.458,.455,.416,.382,.490,.912,.003,2,.424,.446,0,0,,afflaar01
56,Dirk Nowitzki,37,DAL,PF,75,75,2364,.448,16.6,.692,.075,.068,.261,.289,.308,.483,.735,.329,.476,.461,.368,.632,.984,.004,5,.102,.314,0,0,,nowitdi01
57,Goran Dragić,29,MIA,PG,72,72,2363,.477,11.3,.766,.328,.142,.169,.127,.234,.527,.666,.387,.426,.459,.312,.252,.750,.001,1,.244,.260,0,0,,dragigo01
58,J.R. Smith,30,CLE,SG,77,77,2362,.415,19.1,.400,.081,.109,.073,.135,.600,.438,.623,.398,.387,.391,.400,.430,.926,.013,11,.241,.390,1,0,,smithjr01
59,Will Barton,25,DEN,SG,82,1,2353,.432,12.6,.669,.297,.181,.091,.103,.331,.476,.599,.399,.393,.327,.345,.387,.795,.048,46,.138,.333,5,0,6MOY-4,bartowi01
60,Al-Farouq Aminu,25,POR,SF,82,82,2341,.416,14.9,.515,.252,.121,.047,.095,.485,.468,.597,.299,.382,.382,.361,.595,.921,.061,42,.410,.392,1,0,,aminual01
61,Marvin Williams,29,CHO,PF,81,81,2338,.452,16.0,.494,.214,.124,.048,.106,.506,.504,.538,.527,.556,.392,.402,.591,.993,.020,12,.270,.461,1,0,,willima02
62,Courtney Lee,30,2TM,SG,79,65,2334,.454,15.2,.660,.191,.091,.136,.243,.340,.493,.607,.466,.414,.458,.378,.606,1.000,.006,3,.369,.325,1,0,,leeco01
62,Courtney Lee,30,MEM,SG,51,37,1489,.458,15.0,.671,.172,.105,.153,.241,.329,.502,.597,.568,.406,.465,.370,.631,1.000,.010,3,.399,.255,0,0,,leeco01
62,Courtney Lee,30,CHO,SG,28,28,845,.445,15.5,.641,.227,.064,.105,.245,.359,.475,.620,.143,.435,.444,.392,.552,1.000,.000,0,.316,.480,1,0,,leeco01
63,Ricky Rubio,25,MIN,PG,76,76,2323,.374,15.8,.676,.205,.053,.082,.336,.324,.396,.517,.258,.229,.386,.326,.268,.903,.000,0,.195,.432,1,0,,rubiori01
64,Greg Monroe,25,MIL,C,79,67,2314,.522,4.1,.999,.542,.324,.067,.065,.001,.522,.596,.446,.429,.393,.000,.570,,.021,19,.000,,0,0,,monrogr01
65,Jae Crowder,25,BOS,SF,73,73,2308,.443,15.1,.554,.274,.075,.064,.139,.446,.529,.704,.246,.346,.416,.336,.756,.943,.023,19,.226,.329,1,0,DPOY-13,crowdja01
66,Zach LaVine,20,MIN,SG,82,33,2294,.452,14.3,.670,.277,.090,.055,.249,.330,.482,.677,.349,.302,.351,.389,.416,.732,.059,52,.149,.468,0,0,6MOY-14,lavinza01
67,Pau Gasol,35,CHI,C,72,72,2291,.469,11.1,.931,.245,.192,.167,.327,.069,.478,.566,.435,.452,.452,.348,.668,.958,.025,24,.362,.320,0,0,AS,gasolpa01
