"PLAYER_NAME","Defender_Cluster"
"Tyus Jones","4"
"Kyle Anderson","1"
"Steve Blake","1"
"Jason Terry","4"
"Jamal Crawford","1"
"Gerald Henderson","5"
"Ramon Sessions","4"
"Tyler Ennis","4"
"Lou Amundson","1"
"Aaron Brooks","1"
"Mo Williams","1"
"Sergey Karasev","1"
"Vince Carter","4"
"Richard Jefferson","1"
"Beno Udrih","1"
"James Michael McAdoo","4"
"Mike Miller","4"
"Rodney Stuckey","1"
"Rasual Butler","1"
"Chase Budinger","1"
"J.J. Barea","4"
"Anthony Morrow","4"
"Kevin Martin","4"
"Tim Frazier","1"
"Jonathon Simmons","4"
"Joe Young","4"
"Marcelo Huertas","4"
"Glenn Robinson III","1"
"Jared Cunningham","4"
"Reggie Bullock Jr.","1"
"Ronnie Price","4"
"Justin Anderson","5"
"Pablo Prigioni","4"
"Joe Ingles","4"
"John Jenkins","4"
"Damjan Rudez","1"
"Devyn Marble","4"
"Lance Stephenson","4"
"James Jones","4"
"Kendall Marshall","4"
"Manu Ginobili","1"
"Ian Clark","4"
"Chris Copeland","5"
"Udonis Haslem","4"
"Terry Rozier","5"
"Brian Roberts","1"
"Tim Hardaway Jr.","1"
"Lamar Patterson","4"
"KJ McDaniels","5"
"James Young","5"
"Leandro Barbosa","4"
"Troy Daniels","1"
"Phil Pressey","4"
"RJ Hunter","4"
"Shabazz Napier","4"
"Darrun Hilliard","5"
"Andre Miller","4"
"Sonny Weems","4"
