"PLAYER_NAME","FGM_LT_10_10FT","FGA_LT_10_10FT","LT_10_PCT_10FT","NS_LT_10_PCT_10FT","PLUSMINUS_10FT","FGM_GT_15_15FT","FGA_GT_15_15FT","NS_GT_15_PCT_15FT","PLUSMINUS_15FT","FG2M_2P","FG2A_2P","FG2_PCT_2P","NS_FG2_PCT_2P","PLUSMINUS_2P","FGM_LT_06_6FT","FGA_LT_06_6FT","LT_06_PCT_6FT","NS_LT_06_PCT_6FT","PLUSMINUS_6FT","FG3M_3P","FG3A_3P","FG3_PCT_3P","NS_FG3_PCT_3P","PLUSMINUS_3P","D_FGM_OVERALL","D_FGA_OVERALL","D_FG_PCT_OVERALL","NORMAL_FG_PCT_OVERALL","PCT_PLUSMINUS_OVERALL"
"Randy Foye",1.15,2.06,0.558,0.53,0.027,1.09,3.24,0.365,-0.029,1.83,3.95,0.462,0.479,-0.017,0.78,1.29,0.602,0.586,0.016,0.69,2.03,0.34,0.348,-0.009,2.51,5.98,0.421,0.435,-0.014
"Metta World Peace",1.21,2.06,0.586,0.545,0.04,1.09,3.09,0.369,-0.017,1.82,3.41,0.534,0.493,0.041,0.91,1.47,0.62,0.599,0.021,0.65,2.15,0.301,0.351,-0.049,2.47,5.56,0.444,0.447,-0.003
"Sasha Vujacic",1.21,2.06,0.587,0.543,0.044,1.19,3.02,0.375,0.019,1.96,3.81,0.515,0.483,0.032,1,1.55,0.646,0.601,0.045,0.64,1.64,0.391,0.364,0.027,2.6,5.45,0.478,0.443,0.035
"Allen Crabbe",1.12,2.06,0.545,0.536,0.009,1.64,4.35,0.373,0.004,1.98,4.48,0.441,0.479,-0.039,0.89,1.47,0.605,0.6,0.005,1.12,2.78,0.404,0.36,0.044,3.1,7.26,0.427,0.436,-0.009
"Wayne Ellington",1.39,2.05,0.679,0.544,0.135,1.29,3.63,0.367,-0.012,1.97,3.68,0.536,0.479,0.057,1.17,1.57,0.748,0.603,0.145,0.96,2.58,0.372,0.354,0.018,2.93,6.26,0.468,0.434,0.035
"James Anderson",1.14,2.05,0.556,0.546,0.009,1.27,3.45,0.372,-0.003,1.84,4.18,0.44,0.493,-0.053,0.89,1.48,0.6,0.591,0.009,0.75,1.93,0.388,0.35,0.038,2.59,6.11,0.424,0.449,-0.025
"Jeremy Evans",1.09,2.04,0.532,0.556,-0.024,0.83,2.52,0.381,-0.053,1.43,2.7,0.532,0.497,0.035,0.96,1.52,0.629,0.617,0.012,0.61,2.04,0.298,0.362,-0.064,2.04,4.74,0.431,0.451,-0.019
"Marcus Smart",1.13,2.03,0.556,0.543,0.013,1.89,4.85,0.37,0.019,2.02,4.11,0.49,0.479,0.011,0.82,1.41,0.581,0.595,-0.014,1.21,3.36,0.361,0.352,0.009,3.23,7.48,0.432,0.434,-0.002
"James Johnson",0.91,2.02,0.451,0.551,-0.1,1.29,3.07,0.368,0.05,1.71,3.93,0.436,0.489,-0.053,0.7,1.25,0.557,0.608,-0.05,0.79,1.91,0.411,0.347,0.064,2.5,5.84,0.428,0.449,-0.021
"Mario Chalmers",1.13,2.02,0.561,0.524,0.037,1.25,3.84,0.374,-0.05,1.79,3.64,0.491,0.473,0.018,0.84,1.25,0.671,0.578,0.093,0.75,2.67,0.282,0.36,-0.078,2.54,6.31,0.403,0.432,-0.029
"Greivis Vasquez",1.35,2,0.674,0.538,0.136,1.04,3.13,0.356,-0.023,2.04,3.3,0.618,0.472,0.147,1,1.57,0.639,0.603,0.036,0.65,2.3,0.283,0.333,-0.05,2.7,5.61,0.481,0.427,0.054
"Gary Neal",1.35,1.98,0.684,0.533,0.15,1.45,3.53,0.359,0.052,2.05,3.65,0.562,0.474,0.088,0.98,1.33,0.736,0.595,0.141,0.98,2.5,0.39,0.342,0.048,3.03,6.15,0.492,0.427,0.065
"Jeff Teague",1.08,1.97,0.545,0.539,0.006,1.99,5.68,0.37,-0.02,2.1,4.78,0.439,0.477,-0.038,0.86,1.28,0.673,0.596,0.077,1.2,3.61,0.333,0.348,-0.015,3.3,8.39,0.394,0.437,-0.043
"Dennis Schröder",1.04,1.97,0.526,0.534,-0.008,1.13,3.09,0.36,0.005,1.71,3.84,0.446,0.475,-0.029,0.76,1.35,0.561,0.599,-0.038,0.63,1.75,0.362,0.34,0.022,2.34,5.58,0.42,0.433,-0.014
"Matt Bonner",0.83,1.96,0.422,0.512,-0.09,0.65,1.48,0.358,0.083,1.39,3.09,0.451,0.475,-0.024,0.78,1.57,0.5,0.571,-0.071,0.22,0.7,0.313,0.342,-0.029,1.61,3.78,0.425,0.437,-0.012
"Kostas Papanikolaou",1,1.96,0.511,0.557,-0.046,1.39,3.09,0.368,0.082,1.74,3.7,0.471,0.505,-0.034,0.87,1.3,0.667,0.619,0.048,0.78,1.7,0.462,0.351,0.11,2.52,5.39,0.468,0.455,0.013
"Shabazz Muhammad",1.16,1.95,0.594,0.535,0.059,1.49,3.61,0.365,0.048,1.76,3.35,0.524,0.481,0.042,0.99,1.6,0.618,0.587,0.031,1.02,2.43,0.422,0.351,0.071,2.78,5.78,0.481,0.436,0.045
"PJ Hairston",0.91,1.95,0.464,0.539,-0.075,1.77,3.81,0.376,0.087,1.88,3.98,0.471,0.489,-0.018,0.72,1.34,0.535,0.594,-0.059,1.05,2.36,0.444,0.357,0.086,2.92,6.34,0.461,0.448,0.013
"C.J. Watson",1.13,1.94,0.581,0.547,0.034,1.53,3.66,0.365,0.054,1.97,3.5,0.563,0.483,0.08,1,1.38,0.727,0.597,0.131,1.06,2.72,0.391,0.349,0.042,3.03,6.22,0.487,0.438,0.049
"Brandon Jennings",1.04,1.94,0.538,0.524,0.013,0.85,2.79,0.363,-0.058,1.65,3.88,0.425,0.47,-0.045,0.71,1.1,0.642,0.58,0.062,0.58,1.67,0.35,0.341,0.009,2.23,5.54,0.402,0.43,-0.027
"Tony Allen",1.17,1.94,0.605,0.544,0.06,1.56,4.3,0.372,-0.008,2.05,3.88,0.528,0.49,0.038,0.94,1.42,0.659,0.594,0.065,0.92,3,0.307,0.349,-0.042,2.97,6.88,0.432,0.445,-0.013
"Ray McCallum",0.96,1.93,0.5,0.54,-0.04,0.89,2.39,0.36,0.013,1.57,3.32,0.473,0.48,-0.007,0.57,1.04,0.552,0.585,-0.034,0.64,1.57,0.409,0.344,0.065,2.21,4.89,0.453,0.437,0.015
"Trey Burke",1.17,1.92,0.612,0.529,0.083,1.24,3.44,0.373,-0.014,1.92,3.81,0.504,0.477,0.027,0.81,1.21,0.671,0.588,0.083,0.89,2.3,0.386,0.364,0.022,2.81,6.11,0.46,0.436,0.024
"Patty Mills",1.26,1.9,0.662,0.529,0.133,0.99,2.93,0.358,-0.02,2.1,3.93,0.535,0.469,0.066,0.91,1.19,0.771,0.584,0.187,0.53,1.74,0.305,0.333,-0.028,2.63,5.67,0.464,0.429,0.036
"Axel Toupane",1.05,1.9,0.55,0.541,0.009,1.19,3.29,0.371,-0.009,1.57,3.43,0.458,0.483,-0.025,0.9,1.24,0.731,0.604,0.127,0.81,2.19,0.37,0.358,0.011,2.38,5.62,0.424,0.438,-0.014
"Kelly Oubre Jr.",1.2,1.9,0.634,0.557,0.078,1.04,2.67,0.369,0.021,1.8,3.24,0.553,0.489,0.064,1.08,1.61,0.671,0.614,0.057,0.63,1.69,0.373,0.356,0.018,2.43,4.94,0.492,0.444,0.048
"Marcus Thornton",1.22,1.87,0.652,0.545,0.107,0.9,2.73,0.369,-0.039,1.68,2.93,0.574,0.484,0.09,0.85,1.32,0.646,0.601,0.045,0.55,1.98,0.277,0.359,-0.082,2.23,4.92,0.454,0.437,0.017
"Toney Douglas",1.17,1.87,0.625,0.539,0.086,1.35,3.52,0.372,0.012,1.82,3.52,0.517,0.479,0.037,0.9,1.15,0.783,0.603,0.18,0.93,2.4,0.389,0.358,0.031,2.75,5.92,0.465,0.435,0.029
"Norman Powell",0.87,1.87,0.465,0.532,-0.067,1.55,3.87,0.373,0.028,1.58,3.82,0.414,0.476,-0.062,0.74,1.34,0.549,0.59,-0.041,1.05,2.45,0.43,0.353,0.077,2.63,6.26,0.42,0.433,-0.013
"Jeremy Lamb",1,1.86,0.537,0.549,-0.012,1.44,4.27,0.366,-0.03,1.94,4.18,0.464,0.483,-0.019,0.85,1.36,0.622,0.597,0.025,0.82,2.65,0.309,0.357,-0.048,2.76,6.83,0.404,0.437,-0.033
"Cameron Payne",1.06,1.85,0.573,0.522,0.051,0.94,2.56,0.365,0.001,1.56,3.27,0.478,0.472,0.006,0.85,1.25,0.683,0.574,0.11,0.65,1.63,0.397,0.343,0.054,2.21,4.9,0.451,0.433,0.019
"Tyler Hansbrough",1.03,1.83,0.563,0.553,0.01,0.34,0.71,0.392,0.088,1.29,2.43,0.529,0.497,0.032,0.71,1.34,0.532,0.607,-0.075,0.17,0.34,0.5,0.363,0.137,1.46,2.77,0.526,0.464,0.062
"Rashad Vaughn",1.13,1.81,0.628,0.543,0.086,1.04,2.55,0.361,0.048,1.72,3.1,0.553,0.482,0.071,0.85,1.24,0.687,0.596,0.091,0.6,1.61,0.37,0.354,0.016,2.31,4.72,0.491,0.436,0.054
"Kirk Hinrich",1.12,1.79,0.627,0.536,0.091,1,3.12,0.362,-0.041,1.81,3.69,0.49,0.473,0.017,0.88,1.21,0.725,0.588,0.137,0.6,1.71,0.347,0.336,0.011,2.4,5.4,0.445,0.433,0.012
"Derrick Williams",1.1,1.79,0.616,0.543,0.073,1.22,3.61,0.361,-0.023,1.74,3.56,0.489,0.483,0.006,0.86,1.26,0.68,0.593,0.088,0.77,2.34,0.328,0.348,-0.021,2.51,5.9,0.425,0.437,-0.012
"Devin Harris",1.09,1.78,0.614,0.526,0.088,1.34,3.5,0.365,0.019,1.77,3.42,0.516,0.477,0.039,0.94,1.28,0.732,0.576,0.156,0.95,2.45,0.389,0.357,0.032,2.72,5.88,0.463,0.434,0.029
"Sean Kilpatrick",1.27,1.77,0.717,0.535,0.182,1.13,2.9,0.36,0.031,1.67,2.8,0.595,0.473,0.123,1.17,1.5,0.778,0.592,0.185,0.83,2.13,0.391,0.348,0.043,2.5,4.93,0.507,0.43,0.077
"Chris Johnson",0.92,1.77,0.519,0.549,-0.03,0.93,2.75,0.369,-0.029,1.43,3.11,0.458,0.484,-0.026,0.85,1.46,0.584,0.599,-0.015,0.56,1.75,0.318,0.352,-0.034,1.98,4.87,0.407,0.441,-0.034
"D.J. Augustin",1.23,1.76,0.697,0.533,0.164,1.1,3.08,0.358,-0.002,1.81,3.16,0.571,0.476,0.096,0.94,1.18,0.795,0.594,0.201,0.77,2.23,0.348,0.344,0.004,2.58,5.39,0.479,0.429,0.05
"Seth Curry",1.05,1.75,0.6,0.545,0.055,1.48,3.35,0.374,0.066,1.73,3.38,0.511,0.479,0.032,0.78,1.13,0.689,0.608,0.081,1.03,2.2,0.466,0.36,0.106,2.75,5.58,0.493,0.439,0.054
"Tyus Jones",1.28,1.75,0.73,0.553,0.177,1.25,2.97,0.367,0.053,1.83,3.11,0.589,0.492,0.097,0.97,1.28,0.761,0.604,0.157,0.92,2.14,0.429,0.357,0.072,2.75,5.25,0.524,0.439,0.084
"Kyle Anderson",1.01,1.72,0.589,0.529,0.06,0.86,2.79,0.357,-0.048,1.69,3.26,0.519,0.478,0.041,0.81,1.28,0.63,0.585,0.045,0.46,1.71,0.268,0.34,-0.072,2.15,4.97,0.433,0.431,0.002
"Steve Blake",0.98,1.72,0.57,0.531,0.039,1.52,3.98,0.366,0.015,2.09,4.48,0.465,0.475,-0.01,0.71,1.16,0.612,0.586,0.026,0.79,2.07,0.383,0.348,0.035,2.88,6.55,0.439,0.436,0.004
"Jason Terry",1.18,1.72,0.689,0.54,0.148,1.44,3.34,0.371,0.06,1.87,3.38,0.554,0.481,0.073,0.97,1.21,0.802,0.603,0.199,1,2.31,0.433,0.356,0.077,2.87,5.69,0.505,0.437,0.068
"Jamal Crawford",1,1.71,0.585,0.544,0.041,1.33,3.7,0.359,0.001,1.77,3.62,0.49,0.487,0.002,0.87,1.3,0.67,0.594,0.076,0.85,2.43,0.349,0.342,0.007,2.62,6.05,0.433,0.441,-0.008
